tomorrow,normalized_title,move_close,move_open,move_high,move_low,move_close_open
1,respawn titanfall server stability microsoft azure hands,1,1,1,0,1
1,titanfall launches tuesday microsoft hopes boost xbox sales,1,1,1,0,1
1,microsoft titanfall could game changer xbox one,1,1,1,0,1
1,titanfall xbox one launch microsoft releases critically acclaimed first person,1,1,1,0,1
1,microsoft xbox one titanfall another non 1080p title,1,1,1,0,1
1,microsoft walt whitman store girds titanfall landing,1,1,1,0,1
1,can microsoft titanfall raise xbox one sales,1,1,1,0,1
1,microsoft xbox is its last life,1,1,1,0,1
1,insider microsoft not not sell xbox one without kinect near future,1,1,1,0,1
1,microsoft places big bet titanfall xbox one,1,1,1,0,1
1,respawn uses microsoft azure cloud servers make titanfall smarter,1,1,1,0,1
1,microsoft share price titanfall seen game changer xbox one,1,1,1,0,1
1,titanfall great probably not console seller microsoft hoping,1,1,1,0,1
1,make break game microsoft msft xbox one launches tomorrow,1,1,1,0,1
1,titanfall release date microsoft banking xbox one exclusive title,1,1,1,0,1
1,titanfall gives microsoft electronic arts plenty sales ammo,1,1,1,0,1
1,microsoft hopes titan sized game success will reverse xbox one fall,1,1,1,0,1
1,a closer look titanfall not secret weapon microsoft cloud,1,1,1,0,1
1,respawn entertainment jon shiring titanfall using microsoft cloud,1,1,1,0,1
1,titanfall revive microsoft xbox one sales,1,1,1,0,1
1,microsoft hopes titanfall boost xbox one sales,1,1,1,0,1
1,space battles may hold key microsoft xbox one,1,1,1,0,1
0,will 15 shills really help google overtake microsoft office,1,0,1,0,1
0,microsoft hopes titanfall shows xbox one technology,1,0,1,0,1
0,titanfall xbox 360 offer great experience says microsoft,1,0,1,0,1
0,xbox live 0x8004804e error nothing titanfall says microsoft,1,0,1,0,1
0,xbox live sign issues not related titanfall microsoft says,1,0,1,0,1
0,microsoft bet titanfall ramp xbox one sales,1,0,1,0,1
0,microsoft counts titanfall fire xbox one sales,1,0,1,0,1
0,microsoft xbox live outages not a titanfall issue,1,0,1,0,1
0,microsoft looks titanfall boost xbox one,1,0,1,0,1
0,xbox one sign issues microsoft case,1,0,1,0,1
0,space battles may hold key microsoft xbox one,1,0,1,0,1
0,microsoft hometown brings in titanfall right,1,0,1,0,1
0,microsoft counts shooter game titanfall fire xbox one sales,1,0,1,0,1
0,xbox one owners unable sign xbox live microsoft looking issue,1,0,1,0,1
0,microsoft bets big large robots fast gunplay titanfall xbox one,1,0,1,0,1
0,titanfall release date for xbox 360 launch set for march 25 microsoft,1,0,1,0,1
0,this chart says game microsoft,1,0,1,0,1
0,titanfall xbox 360 will be a great experience says microsoft,1,0,1,0,1
0,microsoft titanfall xbox 360 we are thrilled about it,1,0,1,0,1
0,microsoft promises great experience titanfall 360,1,0,1,0,1
0,microsoft addresses id xbox launch parity case case basis,1,0,1,0,1
0,with titanfall microsoft aims xbox sales,1,0,1,0,1
0,microsoft corporation msft will titanfall help xbox one trump sony,1,0,1,0,1
0,titanfall xbox 360 version great says microsoft,1,0,1,0,1
0,microsoft reaffirms quality titanfall xbox 360,1,0,1,0,1
0,microsoft hopes titanfall boosts xbox one,1,0,1,0,1
0,titanfall release date is here microsoft hopes game will help xbox one sales,1,0,1,0,1
0,microsoft gambles that titanfall will become xbox one halo,1,0,1,0,1
0,microsoft makes twitch app available xbox one,1,0,1,0,1
0,microsoft hopes titanfall boost xbox one,1,0,1,0,1
0,microsoft goal not limit developers id xbox parity clause,1,0,1,0,1
0,microsoft hopes titanfall boost xbox one,1,0,1,0,1
0,titanfall launch day issues microsoft problem says respawn,1,0,1,0,1
0,titanfall 3 things know about microsoft new xbox one game,1,0,1,0,1
0,microsoft fired titanfall debut,1,0,1,0,1
0,twitch titanfall release package out on microsoft xbox one,1,0,1,0,1
0,microsoft relying titanfall push xbox one sales,1,0,1,0,1
0,microsoft titanfall shows xbox one technology,1,0,1,0,1
0,microsoft hopes titanfall shows xbox one technology,1,0,1,0,1
0,microsoft counts titanfall fire xbox one sales,1,0,1,0,1
0,xbox one sales microsoft corporation counts titanfall game,1,0,1,0,1
0,microsoft ea respawn lot riding titanfall launch xbox one,1,0,1,0,1
0,microsoft pins hopes titanfall boosting xbox one sales,1,0,1,0,1
0,will microsoft xbox one survive,1,0,1,0,1
